#adm2+name+i_eng+is_latn,#adm2+name+i_zho+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_zho+is_zyyy,#adm2+name+alt2+i_zho+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_zho+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_zho+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Beijing Municipality,北京市,CN011010,,,,,,Beijing Municipality,北京市,CN011,China,中国,CN,2020-09-10,2020-09-10,
Tianjin Municipality,天津市,CN012010,,,,,,Tianjin Municipality,天津市,CN012,China,中国,CN,2020-09-10,2020-09-10,
Baoding,保定市,CN013010,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Cangzhou,沧州市,CN013020,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Chengde,承德市,CN013030,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Handan,邯郸市,CN013040,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Hengshui,衡水市,CN013050,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Langfang,廊坊市,CN013060,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Qinhuangdao,秦皇岛市,CN013070,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Shijiazhuang,石家庄市,CN013080,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Tangshan,唐山市,CN013090,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Xingtai,邢台市,CN013100,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Zhangjiakou,张家口市,CN013110,,,,,,Hebei Province,河北省,CN013,China,中国,CN,2020-09-10,2020-09-10,
Changzhi,长治市,CN014010,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Datong,大同市,CN014020,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Jincheng,晋城市,CN014030,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Jinzhong,晋中市,CN014040,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Lüliang,吕梁市,CN014050,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Linfen,临汾市,CN014060,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Shuozhou,朔州市,CN014070,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Taiyuan,太原市,CN014080,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Xinzhou,忻州市,CN014090,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Yangquan,阳泉市,CN014100,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Yuncheng,运城市,CN014110,,,,,,Shanxi Province,山西省,CN014,China,中国,CN,2020-09-10,2020-09-10,
Alxa League,阿拉善盟,CN015010,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Baotou,包头市,CN015020,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Bayannur,巴彦淖尔市,CN015030,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Chifeng,赤峰市,CN015040,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Hinggan League,兴安盟,CN015050,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Hohhot,呼和浩特市,CN015060,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Hulunbuir,呼伦贝尔市,CN015070,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Ordos,鄂尔多斯市,CN015080,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Tongliao,通辽市,CN015090,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Ulanqab,乌兰察布市,CN015100,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Wuhai,乌海市,CN015110,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Xilingol League,锡林郭勒盟,CN015120,,,,,,Inner Mongolia Autonomous Region,内蒙古自治区,CN015,China,中国,CN,2020-09-10,2020-09-10,
Anshan,鞍山市,CN021010,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Benxi,本溪市,CN021020,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Chaoyang,朝阳市,CN021030,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Dalian,大连市,CN021040,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Dandong,丹东市,CN021050,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Fushun,抚顺市,CN021060,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Fuxin,阜新市,CN021070,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Huludao,葫芦岛市,CN021080,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Jinzhou,锦州市,CN021090,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Liaoyang,辽阳市,CN021100,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Panjin,盘锦市,CN021110,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Shenyang,沈阳市,CN021120,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Tieling,铁岭市,CN021130,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Yingkou,营口市,CN021140,,,,,,Liaoning Province,辽宁省,CN021,China,中国,CN,2020-09-10,2020-09-10,
Baicheng,白城市,CN022010,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Baishan,白山市,CN022020,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Changchun,长春市,CN022030,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Jilin,吉林市,CN022040,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Liaoyuan,辽源市,CN022050,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Siping,四平市,CN022060,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Songyuan,松原市,CN022070,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Tonghua,通化市,CN022080,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,CN022090,,,,,,Jilin Province,吉林省,CN022,China,中国,CN,2020-09-10,2020-09-10,
Daqing,大庆市,CN023010,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Daxinganling Prefecture,大兴安岭地区[4],CN023020,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Harbin,哈尔滨市,CN023030,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Hegang,鹤岗市,CN023040,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Heihe,黑河市,CN023050,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Jiamusi,佳木斯市,CN023060,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Jixi,鸡西市,CN023070,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Mudanjiang,牡丹江市,CN023080,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Qiqihar,齐齐哈尔市,CN023090,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Qitaihe,七台河市,CN023100,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Shuangyashan,双鸭山市,CN023110,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Suihua,绥化市,CN023120,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Yichun,伊春市,CN023130,,,,,,Heilongjiang Province,黑龙江省,CN023,China,中国,CN,2020-09-10,2020-09-10,
Shanghai Municipality,上海市,CN031010,,,,,,Shanghai Municipality,上海市,CN031,China,中国,CN,2020-09-10,2020-09-10,
Changzhou,常州市,CN032010,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Huai'an,淮安市,CN032020,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Lianyungang,连云港市,CN032030,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Nanjing,南京市,CN032040,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Nantong,南通市,CN032050,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Suqian,宿迁市,CN032060,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Suzhou,苏州市,CN032070,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Taizhou,泰州市,CN032080,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Wuxi,无锡市,CN032090,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Xuzhou,徐州市,CN032100,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Yancheng,盐城市,CN032110,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Yangzhou,扬州市,CN032120,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Zhenjiang,镇江市,CN032130,,,,,,Jiangsu Province,江苏省,CN032,China,中国,CN,2020-09-10,2020-09-10,
Hangzhou,杭州市,CN033010,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Huzhou,湖州市,CN033020,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Jiaxing,嘉兴市,CN033030,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Jinhua,金华市,CN033040,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Lishui,丽水市,CN033050,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Ningbo,宁波市,CN033060,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Quzhou,衢州市,CN033070,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Shaoxing,绍兴市,CN033080,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Taizhou,台州市,CN033090,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Wenzhou,温州市,CN033100,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Zhoushan,舟山市,CN033110,,,,,,Zhejiang Province,浙江省,CN033,China,中国,CN,2020-09-10,2020-09-10,
Anqing,安庆市,CN034010,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Bengbu,蚌埠市,CN034020,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Bozhou,亳州市,CN034030,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Chizhou,池州市,CN034040,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Chuzhou,滁州市,CN034050,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Fuyang,阜阳市,CN034060,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Hefei,合肥市,CN034070,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Huaibei,淮北市,CN034080,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Huainan,淮南市,CN034090,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Huangshan,黄山市,CN034100,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Lu'an,六安市,CN034110,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Ma'anshan,马鞍山市,CN034120,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Suzhou,宿州市,CN034130,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Tongling,铜陵市,CN034140,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Wuhu,芜湖市,CN034150,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Xuancheng,宣城市,CN034160,,,,,,Anhui Province,安徽省,CN034,China,中国,CN,2020-09-10,2020-09-10,
Fuzhou,福州市,CN035010,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Longyan,龙岩市,CN035020,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Nanping,南平市,CN035030,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Ningde,宁德市,CN035040,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Putian,莆田市,CN035050,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Quanzhou,泉州市,CN035060,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Sanming,三明市,CN035070,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Xiamen,厦门市,CN035080,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Zhangzhou,漳州市,CN035090,,,,,,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
Fuzhou,抚州市,CN036010,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Ganzhou,赣州市,CN036020,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Ji'an,吉安市,CN036030,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Jingdezhen,景德镇市,CN036040,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Jiujiang,九江市,CN036050,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Nanchang,南昌市,CN036060,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Pingxiang,萍乡市,CN036070,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Shangrao,上饶市,CN036080,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Xinyu,新余市,CN036090,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Yichun,宜春市,CN036100,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Yingtan,鹰潭市,CN036110,,,,,,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
Binzhou,滨州市,CN037010,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Dezhou,德州市,CN037020,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Dongying,东营市,CN037030,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Heze,菏泽市,CN037040,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Jinan,济南市,CN037050,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Jining,济宁市,CN037060,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Laiwu,莱芜市,CN037070,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Liaocheng,聊城市,CN037080,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Linyi,临沂市,CN037090,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Qingdao,青岛市,CN037100,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Rizhao,日照市,CN037110,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Tai'an,泰安市,CN037120,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Weifang,潍坊市,CN037130,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Weihai,威海市,CN037140,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Yantai,烟台市,CN037150,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Zaozhuang,枣庄市,CN037160,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Zibo,淄博市,CN037170,,,,,,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
Anyang,安阳市,CN041010,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Hebi,鹤壁市,CN041020,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Jiaozuo,焦作市,CN041030,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Jiyuan,济源市〔1〕,CN041040,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Kaifeng,开封市,CN041050,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Luohe,漯河市,CN041060,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Luoyang,洛阳市,CN041070,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Nanyang,南阳市,CN041080,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Pingdingshan,平顶山市,CN041090,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Puyang,濮阳市,CN041100,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Sanmenxia,三门峡市,CN041110,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Shangqiu,商丘市,CN041120,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Xinxiang,新乡市,CN041130,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Xinyang,信阳市,CN041140,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Xuchang,许昌市,CN041150,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Zhengzhou,郑州市,CN041160,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Zhoukou,周口市,CN041170,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Zhumadian,驻马店市,CN041180,,,,,,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
Enshi Tujia and Miao Autonomous Prefecture,恩施土家族苗族自治州,CN042010,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Ezhou,鄂州市,CN042020,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Huanggang,黄冈市,CN042030,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Huangshi,黄石市,CN042040,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Jingmen,荆门市,CN042050,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Jingzhou,荆州市,CN042060,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Qianjiang,潜江市[1],CN042070,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Shennongjia Forestry District,神农架林区[3],CN042080,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Shiyan,十堰市,CN042090,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Suizhou,随州市,CN042100,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Tianmen,天门市[1],CN042110,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Wuhan,武汉市,CN042120,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Xiangyang,襄阳市,CN042130,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Xianning,咸宁市,CN042140,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Xiantao,仙桃市[1],CN042150,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Xiaogan,孝感市,CN042160,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Yichang,宜昌市,CN042170,,,,,,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
Changde,常德市,CN043010,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Changsha,长沙市,CN043020,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Chenzhou,郴州市,CN043030,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Hengyang,衡阳市,CN043040,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Huaihua,怀化市,CN043050,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Loudi,娄底市,CN043060,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Shaoyang,邵阳市,CN043070,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Xiangtan,湘潭市,CN043080,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Xiangxi Tujia and Miao Autonomous Prefecture,湘西土家族苗族自治州,CN043090,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Yiyang,益阳市,CN043100,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Yongzhou,永州市,CN043110,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Yueyang,岳阳市,CN043120,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Zhangjiajie,张家界市,CN043130,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Zhuzhou,株州市,CN043140,,,,,,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
Chaozhou,潮州市,CN044010,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
